Code,Name,Batch,Stock,Deal,Free,Mrp,Rate,Exp,Company,Supplier,SupplierID
RENT,RENT,,24,0,0,0,0,/  /,RENT,SARADA PHARMACY      MADHIRA,1
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,GENARAL COMPANY,V.H.M.TRADERS VIJAYAWADA,2
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,GENARAL COMPANY,V.H.M.TRADERS VIJAYAWADA,2
WLCMD,COLIMEX DROPS,CRR007A,-15,19,1,40.8,29.14,/  /,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
XXCKS,GIFT ITEM,SHOWER TO,5,0,0,1,1,01-01-2031,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
XXCKS,GIFT ITEM,ZINCOLD TA,2,0,0,1,1,01-10-2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
XXCLB,GIFT BAG,TRELLIS,2,0,0,0.01,0.01,01-03-2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
XXCKS,GIFT ITEM,PAINT/SHAR,2,0,0,1,0.95,01-03-2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
XXCKS,GIFT ITEM,NA,1,0,0,1,0.95,01-10-2025,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
XXCKS,GIFT ITEM,NA,4,0,0,1,0.95,01-10-2025,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
N2,TIFFIN BOX/FLASK NO,FOC,4,0,0,0,0,26-03-2025,GIFT ARTICALS,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
XXCKS,GIFT ITEM,NA,2,0,0,1,0.95,01-03-2025,GIFT ARTICALS,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
CICPR,ROTAHALER,03J20020,-2,0,0,126.44,90.31,01-01-2025,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
BDES2,BD EMERALD SYRINGE,30523,2400,0,0,8,2.2,01-01-2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDEM3,BD EMERALD SYRINGE,32479,7200,0,0,8,2.2,01-01-2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDEM3,BD EMERALD SYRINGE,35475,7200,0,0,8,2.2,01-01-2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
CICPR,ROTAHALER,03J20002,31,0,0,126.44,90.31,01-12-2024,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
BDES5,BD EMERALD SYRINGE,9364723,1600,0,0,9,2.65,01-12-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDEM3,BD EMERALD SYRINGE,9362434,1000,0,0,8,2.2,01-11-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDE10,BD EMERALD SYRINGE,9362439,650,0,0,14.5,4.25,01-11-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDES2,BD EMERALD SYRINGE,9362431,3700,0,0,8,2.2,01-11-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDES2,BD EMERALD SYRINGE,9362431,4800,0,0,8,2.2,01-11-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
CICRE,REVOLIZER,38J19080,4,0,0,223.85,159.89,01-09-2024,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD,6
BDINS,BD INSULIN SYRINGE U 40,9231178,50,0,0,86,61.94,01-09-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
BDINS,BD INSULIN SYRINGE U 40,9231186,200,0,0,86,61.94,01-09-2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD,7
